album_id,artist_id
4W3thVlsxoMGDgmMZASHof,6JVRYNneRsYNInT4TNr5vU
2lVztDSrARLmjd68Sb9eNi,6Yuow6YoiBaVPFNjZ5BQi7
0VYa8Da3sGtLgBgv9AAejl,6Yuow6YoiBaVPFNjZ5BQi7
6R1wOhEarC6ZAoBk7QIbyH,6Yuow6YoiBaVPFNjZ5BQi7
2DHVyrXDHU1Bon69m1BaMy,6Yuow6YoiBaVPFNjZ5BQi7
5M8KlKcuRbCgIE7Yx7u99m,6Yuow6YoiBaVPFNjZ5BQi7
5Y9c3oC11n4Ap9YzRQjv7M,6Yuow6YoiBaVPFNjZ5BQi7
3WrazvH0tL3nxgmeoplcuK,6Yuow6YoiBaVPFNjZ5BQi7
08WMiJjbeDVMgaPttGdN2V,6Yuow6YoiBaVPFNjZ5BQi7
6WI8PZgFya82QRcFkvoCc4,49RRjdOtssOA73G9NnVeUM
7cbCAY27iyxgBLGhGTl0AU,49RRjdOtssOA73G9NnVeUM
5Q8brDWn982fSVVDDtIVWg,49RRjdOtssOA73G9NnVeUM
3ZEl5F62lwxZmIVPqT72ND,49RRjdOtssOA73G9NnVeUM
0SNEpoPVN1wpcvaVWy0zIE,7J2lZBANizgPNfUzux31PV
0A2Vqz2BFc9qUhrQu2c2IQ,7J2lZBANizgPNfUzux31PV
67CLk64Jq2ITiemGcJ8qst,7J2lZBANizgPNfUzux31PV
67CLk64Jq2ITiemGcJ8qst,14hwyxsI6rFMl60LslEuo7
7kpiOPIB55MCDtZEtoMb4w,7J2lZBANizgPNfUzux31PV
0SUilKlBFVR986QBUvyaxM,7J2lZBANizgPNfUzux31PV
1Z77vyYuVnvs5flhSpKrPC,7J2lZBANizgPNfUzux31PV
6sZzGcSMacMzi2dHYupCCq,7J2lZBANizgPNfUzux31PV
3GFuaNcVSVPcmLL6AzsywI,7J2lZBANizgPNfUzux31PV
0mdfJyBwHLjv4PIZ8pFLTR,7J2lZBANizgPNfUzux31PV
6pNp3kKDeo2C09V3o45BH7,7J2lZBANizgPNfUzux31PV
5ZJaPH5jENEwrM78CpvYjp,7J2lZBANizgPNfUzux31PV
3guiehUCRJc3HzToRtV3cZ,7J2lZBANizgPNfUzux31PV
0sVr8MD8WRnVrAGJ072FCd,7J2lZBANizgPNfUzux31PV
43SGdgmwkGTFPpBftf94Fw,7J2lZBANizgPNfUzux31PV
48UQyt1mH1E6n1jy41cya1,7J2lZBANizgPNfUzux31PV
3wa37uRdXUQgyUQmrOwii4,7J2lZBANizgPNfUzux31PV
6Kmf8BKYRii8rfYoguCwjF,7J2lZBANizgPNfUzux31PV
5Dy5QRFRekqR7KK3yL4U9b,7J2lZBANizgPNfUzux31PV
2Sdfx7Z5WfiMIk9XfkQAm5,7J2lZBANizgPNfUzux31PV
1QoX0lwVjSNcnYhyFP0T83,7J2lZBANizgPNfUzux31PV
47mMVL72wEPG0li4VTtHzM,0mXTJETA4XUa12MmmXxZJh
1tcn5JXZJC0xVAFIE3iZat,0mXTJETA4XUa12MmmXxZJh
13xlpKbai3GGoMSr75lOeX,0mXTJETA4XUa12MmmXxZJh
5r0Xd2wqRkTE0BqbeYlnFN,6J7rw7NELJUCThPbAfyLIE
5a0615Kx9tVg6T4Om5twMO,6J7rw7NELJUCThPbAfyLIE
3GtyVMEnfmc3rl8pTYBJqi,6J7rw7NELJUCThPbAfyLIE
40LvDRa8e5cdgUFsKgSUzq,6J7rw7NELJUCThPbAfyLIE
0GgLzw8RdggLtLjpP4iSIE,3w6zswp5THsSKYLICUbDTZ
3xJJkGULBUWnNU3ymzFHY7,3w6zswp5THsSKYLICUbDTZ
5a96csz24Uvb9j3nrcdOXj,3w6zswp5THsSKYLICUbDTZ
0PaDGhydpqhksvOmhdvkHW,3w6zswp5THsSKYLICUbDTZ
3G8X9nHRBIGKp9gsAdKoco,3w6zswp5THsSKYLICUbDTZ
1BR3oaWX8DC37ZYYV6eNr0,3w6zswp5THsSKYLICUbDTZ
7kyjDxYcff3MeWKtw0fnLW,3w6zswp5THsSKYLICUbDTZ
6GfLLPhhI8jpQUkhhn6rd6,6lqmbDjxe5rhvXIyfNl23o
1sFlplOnN4a8p1sQSD9PfS,6lqmbDjxe5rhvXIyfNl23o
1ZKK8huFJYQDu4pZV0G1h0,6lqmbDjxe5rhvXIyfNl23o
1JvqQIGK5YAERKiJJL0fe2,6lqmbDjxe5rhvXIyfNl23o
02CaMfRS2HZSmbLD7rY0xc,6lqmbDjxe5rhvXIyfNl23o
2tJ38kOqSEKZPeJvSX63mx,6lqmbDjxe5rhvXIyfNl23o
7bqvUtTDeUj0fAUZ7Ygftq,6lqmbDjxe5rhvXIyfNl23o
5i078DW2nTDCrjYQ74EJtP,6lqmbDjxe5rhvXIyfNl23o
2Dbw6Ofn8NfGFdbPhcgG7i,6lqmbDjxe5rhvXIyfNl23o
7ACksVbWqbYgEfSlLzR9Va,6lqmbDjxe5rhvXIyfNl23o
0U8pmaQrMaZmxXzcc7knd6,6lqmbDjxe5rhvXIyfNl23o
6xZE3lesExIZ1p8JeSk2nQ,6lqmbDjxe5rhvXIyfNl23o
7bRsiluGtm35q9bqEEylCg,6lqmbDjxe5rhvXIyfNl23o
1yDPnlL5DtJGYBMj6Q6dzR,6lqmbDjxe5rhvXIyfNl23o
3UIQj77Yb9UJ3FJBOATwli,6lqmbDjxe5rhvXIyfNl23o
3UIQj77Yb9UJ3FJBOATwli,57dGa2VqhK18wT94VmbxEu
5Q8NH4HcepoemNu6tmjlLk,6CmXhyslohOFRJMtPpRm4O
5YrReh3QLaSIElsqQqBIQN,6CmXhyslohOFRJMtPpRm4O
5qho66luU4nnRHdX3nvwNq,6CmXhyslohOFRJMtPpRm4O
4hdNswfYf9ztCOzSihiISO,6CmXhyslohOFRJMtPpRm4O
0KFOEYPzYt1QFmxm42yUsN,6CmXhyslohOFRJMtPpRm4O
0MDnGv1A4Xr58k5MK1hWJy,6CmXhyslohOFRJMtPpRm4O
1YZKI5JNUr7q08xfmiqy27,6CmXhyslohOFRJMtPpRm4O
3BFXSHiSq9g5b1l0moSe6p,6CmXhyslohOFRJMtPpRm4O
3FTRXxT1BLvE3GjGOHyolR,6CmXhyslohOFRJMtPpRm4O
